chunk_id,orthogonal_time,linear_time,parousia,rome_iron_city,anamnesis,entelechy,logos,the_divine,gnosticism,two_source_cosmology,dreaming,childhood,death_rebirth,judgment,dionysos,zebra,valis_entity,pink_light,information,hologram,symmetry_breaking,music,fish_sign,maze,android,drug_perception,writing_process,garden,cat,rat
1975-11-05_SECTION_013_05,0,0,Medium,Medium,Medium,0,Medium,High,High,0,Medium,0,High,0,0,0,0,0,Low,0,0,0,0,0,0,0,Low,0,0,High
1975-11-05_SECTION_013_06,0,0,0,Medium,Low,0,High,High,Medium,High,Low,Low,Medium,0,0,0,0,0,Low,0,0,0,0,0,0,Medium,0,0,Medium,High
1975-11-05_SECTION_013_07,0,0,High,Medium,Medium,0,Medium,High,Low,Low,High,0,Low,0,0,0,0,0,0,0,0,0,0,Low,0,Low,0,0,High,Medium
1975-11-05_SECTION_013_08,0,0,0,Low,0,0,Medium,High,Low,Medium,Medium,0,Medium,0,0,0,0,0,Low,0,0,Low,Low,Low,0,Low,0,Medium,0,Low
1975-11-05_SECTION_013_09,0,0,0,Low,0,0,Medium,High,Medium,Medium,Low,Low,0,0,0,0,0,0,Medium,0,0,0,0,Low,0,Medium,0,0,Medium,High
1975-11-05_SECTION_013_10,0,0,High,Medium,0,0,Low,High,Low,Medium,High,Low,Low,Medium,0,0,0,0,0,0,0,0,0,Low,0,Low,Medium,0,High,High
1975-11-05_SECTION_013_11,0,0,Medium,High,0,0,Medium,High,0,Low,High,0,Medium,Medium,0,0,Low,0,0,0,0,0,0,0,0,0,0,Medium,High,High
1975-11-05_SECTION_013_12,0,Medium,Medium,High,Low,High,Low,High,0,Medium,0,0,Medium,0,0,0,Low,0,Medium,0,0,0,0,0,0,High,0,0,Medium,High
1975-11-05_SECTION_013_13,0,0,Low,High,Medium,0,Low,High,0,Medium,High,0,Low,0,0,0,0,0,Low,0,0,0,Medium,0,0,0,Low,0,Medium,High
1975-11-05_SECTION_013_14,0,0,Medium,Medium,0,0,High,High,0,0,High,0,0,Medium,0,0,0,0,0,0,0,0,0,0,0,Low,0,0,High,High
1975-11-05_SECTION_013_15,0,Medium,High,Medium,Low,0,High,High,0,Medium,High,Low,Medium,High,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Medium,Medium
1975-11-05_SECTION_013_16,0,High,High,High,0,0,Low,High,0,Medium,High,0,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Low,Low,High
1975-11-05_SECTION_013_17,0,High,Medium,Low,High,0,Medium,High,0,Low,Medium,Medium,Medium,Medium,0,0,0,0,0,0,0,0,Medium,Low,0,Low,Medium,0,Low,High
1975-11-05_SECTION_013_18,0,0,0,Low,High,0,Low,High,0,Low,Medium,0,Low,0,0,0,0,0,0,0,0,0,High,0,0,Low,0,0,Low,High
1975-11-05_SECTION_013_19,0,Medium,Low,Medium,High,0,Medium,High,0,Medium,Medium,0,0,Medium,0,0,0,0,0,0,0,0,Medium,Medium,0,Medium,Medium,0,Low,High
1975-11-05_SECTION_013_20,0,Medium,High,High,0,0,0,High,0,0,Medium,0,Low,Medium,0,0,0,0,Low,0,0,0,Medium,0,0,Low,0,0,0,High
1976-09-12_Dorothy_01,0,0,Low,Medium,Low,0,High,High,0,Medium,Medium,Low,Low,Low,0,0,Medium,0,0,0,0,0,0,0,0,0,Medium,High,Medium,High
1976-09-12_Dorothy_02,Low,0,0,Medium,0,0,Medium,High,0,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,0,0
1976-09-15_Dorothy_01,0,0,Low,Medium,0,0,High,High,Medium,Low,High,0,0,0,Low,0,Medium,0,0,0,0,0,Low,0,0,Low,Medium,0,Low,Medium
1976-09-15_Dorothy_02,0,0,0,0,0,0,Medium,High,0,Medium,High,0,Low,0,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,High
1976-09-15_Dorothy_03,0,0,Medium,0,0,0,High,High,0,Medium,High,Medium,Low,0,0,0,0,0,Medium,0,0,0,0,0,0,Low,Medium,0,Medium,Medium
1976-09-15_Dorothy_04,0,Medium,High,0,Low,0,Medium,High,0,Medium,High,0,Low,0,0,0,0,0,Medium,0,0,0,0,0,0,Medium,Medium,Medium,Medium,High
1976-09-15_Dorothy_05,Low,0,Low,Medium,High,0,High,High,Low,0,Low,0,Medium,0,Low,0,0,0,0,0,0,0,Low,0,0,0,0,0,Low,High
1976-09-15_Dorothy_06,0,0,Low,0,Medium,0,High,High,0,Low,Low,Low,High,0,0,0,Medium,0,0,0,0,0,High,0,0,0,Medium,0,Low,High
1976-09-15_Dorothy_07,0,0,Medium,Medium,Low,0,High,High,0,Low,High,0,Medium,Medium,0,0,High,0,Low,0,0,0,Medium,Low,0,0,Medium,Low,Low,High
1976-09-15_Dorothy_08,0,Medium,Medium,High,Medium,0,High,High,0,High,Medium,0,Medium,0,0,0,0,0,0,0,Low,0,0,0,0,Medium,Low,0,Medium,High
1976-09-15_Dorothy_09,0,0,0,Low,Medium,0,Low,High,0,Medium,Medium,Low,Medium,0,0,0,0,0,0,0,0,0,Low,0,0,Medium,Low,0,Medium,High
1976-09-15_Dorothy_10,0,0,0,High,Medium,0,0,High,Medium,High,High,Medium,Medium,0,0,0,0,0,Low,0,0,0,Low,Low,0,Low,0,Medium,0,High
1976-09-15_Dorothy_100,0,Low,0,0,0,0,Medium,High,0,Medium,Low,0,Medium,0,0,Medium,High,0,Low,0,0,0,Medium,Low,0,Medium,High,0,Medium,High
1976-09-15_Dorothy_101,0,Medium,0,Low,Medium,0,Low,High,0,Medium,0,0,0,0,0,0,Medium,0,0,0,0,0,Medium,0,0,Medium,0,0,High,High
1976-09-15_Dorothy_102,0,Low,0,Medium,High,Low,Medium,High,0,Low,Medium,0,Low,0,0,High,Low,0,Low,0,0,0,0,0,0,0,0,High,Medium,High
1976-09-15_Dorothy_103,0,0,0,Low,Low,0,0,High,Medium,Low,High,0,Medium,Low,0,High,0,0,Low,0,0,0,Low,Medium,0,0,Low,Medium,High,High
1976-09-15_Dorothy_104,0,Low,0,0,Low,0,Medium,High,0,Medium,Medium,0,Low,0,0,High,Low,0,0,Low,0,0,Low,Low,0,Low,0,0,Medium,High
1976-09-15_Dorothy_105,0,0,0,0,0,0,Medium,High,High,Low,0,0,Low,0,0,High,0,0,0,Medium,0,0,0,0,0,Medium,Low,0,Medium,High
1976-09-15_Dorothy_106,0,0,0,Low,Low,0,Low,High,High,Medium,Medium,0,0,0,0,High,0,0,Low,0,0,0,0,High,0,Low,Low,Low,Medium,High
1976-09-15_Dorothy_107,0,0,0,Medium,Low,0,Medium,High,High,0,Medium,0,Low,Low,0,High,0,0,0,Low,0,0,Low,0,0,0,High,Low,Low,High
1976-09-15_Dorothy_108,0,0,0,0,Low,0,Low,High,0,Medium,0,0,0,Low,0,High,Low,0,0,Low,0,0,0,Low,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_109,0,0,0,Medium,Medium,0,Low,High,Medium,High,Low,0,Low,Low,0,Medium,0,0,Low,0,0,0,0,Medium,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_11,0,0,0,Medium,High,0,0,High,Low,Medium,High,0,Low,0,0,0,0,0,Medium,0,0,0,0,Low,0,Medium,High,0,Low,Medium
1976-09-15_Dorothy_110,0,0,Medium,Medium,Medium,0,Medium,High,High,Medium,Medium,0,Low,0,0,High,0,0,Medium,0,Low,Low,0,Low,0,Low,0,0,Medium,Medium
1976-09-15_Dorothy_111,0,0,Low,Medium,Low,0,Medium,High,Medium,0,Medium,0,Medium,0,0,High,0,0,0,0,0,0,0,0,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_112,Low,Medium,0,Low,Medium,0,Medium,High,0,Low,0,0,High,0,0,High,0,0,0,0,0,0,0,0,0,0,Medium,0,High,High
1976-09-15_Dorothy_113,Low,Medium,0,0,High,0,Low,High,Medium,Low,0,0,High,Medium,0,High,0,0,0,0,0,0,0,0,0,0,Low,0,Medium,High
1976-09-15_Dorothy_114,0,0,Low,0,Medium,Low,Low,High,Medium,High,0,Low,High,Low,0,High,0,0,Low,0,0,0,0,0,Medium,0,Medium,0,High,High
1976-09-15_Dorothy_115,0,0,Low,0,0,0,Medium,High,High,High,0,0,Medium,0,0,High,0,0,0,0,Low,0,0,0,0,Low,0,0,High,High
1976-09-15_Dorothy_116,0,Medium,0,Low,0,0,Low,High,0,Medium,Low,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,High,High
1976-09-15_Dorothy_117,0,0,0,0,High,0,Low,High,Low,Medium,Low,Low,Medium,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Low,Low,Medium,High
1976-09-15_Dorothy_118,0,0,0,Low,0,0,0,High,Low,Medium,High,Low,Medium,Medium,High,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High
1976-09-15_Dorothy_119,0,0,0,0,Low,0,Low,High,0,Low,Low,0,0,Medium,Medium,0,0,0,0,0,0,0,Low,0,0,0,0,0,High,High
1976-09-15_Dorothy_12,0,0,0,Low,Medium,Low,High,High,High,Medium,Medium,0,Medium,Low,0,0,0,0,Low,0,0,0,0,0,0,0,Medium,Low,Medium,High
1976-09-15_Dorothy_120,0,0,0,0,Medium,0,0,High,High,Medium,0,Medium,Medium,0,Low,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,High,High
1976-09-15_Dorothy_121,0,0,0,0,Low,0,0,High,Low,High,Low,0,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High
1976-09-15_Dorothy_122,0,0,Low,Low,Low,Low,High,High,0,Medium,Medium,0,Medium,0,0,0,0,0,High,Low,0,0,0,0,0,0,Low,0,Medium,High
1976-09-15_Dorothy_123,0,Medium,Low,Low,Low,0,Medium,High,0,Medium,Low,0,High,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,High,High
1976-09-15_Dorothy_124,0,Medium,0,High,Medium,Low,Low,High,Medium,Medium,Medium,Medium,High,0,0,Medium,0,0,0,0,0,0,Low,Low,0,0,0,0,Medium,High
1976-09-15_Dorothy_125,0,High,0,Medium,High,0,High,High,0,Medium,Medium,Medium,Low,0,0,High,0,0,Low,0,0,0,Medium,0,0,Medium,0,0,High,High
1976-09-15_Dorothy_126,0,Medium,0,High,Medium,0,0,High,0,Low,High,Low,Low,0,0,Medium,0,0,0,Medium,0,0,Medium,0,Low,Medium,Medium,0,High,High
1976-09-15_Dorothy_127,Low,0,0,High,Medium,0,High,High,Low,Low,Medium,Low,0,0,0,Medium,0,0,0,0,0,0,Low,Medium,0,Low,High,0,Medium,High
1976-09-15_Dorothy_128,Low,0,0,Medium,0,0,Low,High,Low,Low,Medium,0,Low,0,0,Medium,0,0,Low,0,0,0,0,Medium,0,0,Low,0,Medium,High
1976-09-15_Dorothy_129,0,Medium,0,Medium,0,Medium,0,High,0,Medium,0,High,0,0,0,0,0,0,Medium,Low,0,0,0,Medium,0,Low,High,0,Medium,High
1976-09-15_Dorothy_13,0,0,0,High,Low,0,Medium,High,Medium,Low,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0,High,Low,Medium
1976-09-15_Dorothy_130,0,0,0,0,0,0,Low,High,Low,High,Medium,Low,Medium,0,0,High,0,0,Low,Medium,0,0,0,0,0,Medium,High,Medium,Medium,High
1976-09-15_Dorothy_131,0,Low,Medium,0,Low,Low,0,High,Medium,High,0,0,Medium,0,0,High,Medium,0,Medium,High,0,0,0,0,Medium,Low,Medium,Medium,Medium,High
1976-09-15_Dorothy_132,0,Medium,0,0,0,Medium,0,High,Medium,High,0,0,High,0,0,High,Medium,0,Low,Medium,0,0,0,Medium,Low,0,Low,Low,Medium,High
1976-09-15_Dorothy_133,0,Low,0,0,0,0,0,High,Medium,High,0,0,Medium,0,0,High,0,0,0,Medium,0,0,0,0,Medium,Low,0,0,0,High
1976-09-15_Dorothy_134,0,0,0,0,0,Low,Medium,High,Low,Medium,Medium,0,0,0,0,High,0,0,Low,Medium,Low,0,0,Low,Low,High,0,0,Medium,High
1976-09-15_Dorothy_135,0,0,0,High,0,0,Low,High,0,Medium,Low,0,Low,Low,0,High,0,0,0,Medium,0,0,Medium,0,0,0,Low,0,Medium,High
1976-09-15_Dorothy_136,Medium,0,0,Low,0,0,Low,High,Medium,High,0,Low,0,0,0,High,0,0,0,High,0,0,Low,0,0,Low,Medium,0,Medium,High
1976-09-15_Dorothy_137,0,0,Medium,Medium,0,Low,Low,High,Low,High,Low,0,Medium,0,0,High,0,0,0,High,0,0,0,0,0,High,Low,0,Medium,High
1976-09-15_Dorothy_138,0,0,0,High,Medium,Low,Low,High,Medium,High,Low,0,Low,0,0,High,Low,0,0,High,0,0,Low,Medium,0,0,0,0,Medium,High
1976-09-15_Dorothy_139,0,Medium,Medium,High,High,0,Low,High,Low,Medium,Medium,Low,Medium,0,0,High,0,0,0,High,0,0,Medium,0,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_14,0,0,0,Medium,High,Low,Low,High,Medium,Low,High,0,Medium,0,0,0,0,0,0,0,0,0,Low,0,0,0,High,High,Medium,High
1976-09-15_Dorothy_140,0,Medium,0,High,High,Low,Medium,High,Medium,High,0,0,Medium,0,0,0,0,0,0,Low,0,0,Low,Low,Low,Medium,Medium,0,Medium,High
1976-09-15_Dorothy_141,0,0,0,0,Medium,Low,Medium,High,Medium,High,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,Medium,Medium,0,Low,High
1976-09-15_Dorothy_142,0,0,0,0,0,Low,Medium,High,0,High,Low,0,Low,0,0,Medium,Low,0,Low,0,0,0,0,0,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_143,0,Low,0,0,0,0,0,High,0,High,0,Medium,Low,0,Low,High,0,0,0,0,0,0,0,0,0,Medium,Medium,0,Medium,High
1976-09-15_Dorothy_144,0,Low,0,0,0,0,Low,High,Medium,High,Medium,0,0,0,0,High,0,0,0,0,0,0,0,Low,0,0,Low,Low,Medium,High
1976-09-15_Dorothy_145,Low,0,0,Low,Medium,Low,High,High,High,High,High,Low,0,0,0,Medium,0,0,0,0,Low,0,0,0,0,Low,Medium,Low,High,High
1976-09-15_Dorothy_146,0,0,0,Low,0,Medium,0,High,0,High,Medium,Low,0,0,0,High,0,0,Low,0,0,0,Low,0,0,0,Medium,0,High,High
1976-09-15_Dorothy_147,0,0,0,Medium,Medium,0,Low,High,0,Medium,Low,0,Low,0,0,High,High,0,Low,0,0,0,Medium,Medium,Low,0,High,0,High,Medium
1976-09-15_Dorothy_148,0,0,0,Low,Medium,Low,Low,High,0,Medium,Medium,High,0,Low,0,0,Low,0,Low,0,0,0,Medium,0,Low,Medium,Medium,0,Medium,High
1976-09-15_Dorothy_149,0,Low,0,Low,0,Low,0,High,0,High,Low,Medium,0,0,0,High,Low,0,Low,0,0,0,Medium,0,Low,0,Low,Low,Medium,High
1976-09-15_Dorothy_15,0,0,0,Medium,High,0,0,High,Medium,Low,0,0,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,Medium,Medium,High,Medium,High
1976-09-15_Dorothy_150,0,Medium,0,0,Medium,Medium,0,High,0,High,High,0,Low,0,0,High,0,0,Low,0,0,0,0,Low,Low,0,Medium,0,High,High
1976-09-15_Dorothy_151,Medium,High,Low,Low,Low,0,0,High,0,Medium,Medium,0,Low,0,0,Medium,0,0,0,0,0,0,Low,0,0,Low,Medium,0,Medium,High
1976-09-15_Dorothy_152,High,High,0,Medium,Medium,0,0,Low,0,Medium,0,0,0,0,0,High,Low,0,High,0,0,0,Low,Low,0,Low,High,0,Medium,High
1976-09-15_Dorothy_153,Low,High,0,Medium,0,0,0,High,Medium,Medium,Medium,0,Low,0,0,High,0,0,Low,0,0,0,0,Low,0,Low,Low,0,High,High
1976-09-15_Dorothy_154,0,0,0,Medium,0,0,Low,High,High,Low,Low,0,Low,0,Low,High,Low,0,Medium,0,0,0,0,Medium,0,0,Medium,Low,Low,High
1976-09-15_Dorothy_155,0,Low,0,0,0,Medium,High,High,Medium,Medium,0,0,0,Low,0,0,Low,0,High,0,0,0,0,Medium,0,0,Medium,Low,Medium,High
1976-09-15_Dorothy_156,Low,Low,0,Medium,0,Medium,0,High,Medium,Medium,Low,0,Low,Medium,0,High,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High
1976-09-15_Dorothy_157,Low,Low,0,Medium,Low,Medium,Medium,High,Low,0,0,Low,Medium,0,0,0,0,0,Low,0,0,0,0,0,0,Low,0,Medium,High,High
1976-09-15_Dorothy_158,0,Medium,0,0,Medium,Low,0,High,0,Medium,Low,0,Medium,0,0,0,0,0,0,0,0,0,0,0,0,Low,0,0,High,High
1976-09-15_Dorothy_159,Low,Low,0,0,Low,Medium,Low,High,0,Low,Low,0,Medium,0,0,Medium,0,0,Low,0,0,0,0,0,0,Low,0,0,Medium,High
1976-09-15_Dorothy_16,0,0,0,High,0,0,Low,High,0,Medium,Medium,Medium,Medium,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Medium,High,Medium,Medium
1976-09-15_Dorothy_160,0,Low,0,Medium,Medium,0,0,High,0,Medium,Medium,0,High,0,0,0,0,0,0,0,0,Low,0,0,0,Medium,Medium,0,High,High
1976-09-15_Dorothy_161,0,0,0,Low,0,Medium,Medium,High,High,Low,0,0,Low,0,0,High,0,0,0,0,0,0,0,0,0,High,0,0,Medium,High
1976-09-15_Dorothy_162,0,Medium,0,High,0,0,Low,High,Low,High,High,Medium,Low,0,0,Medium,0,0,0,0,0,0,Low,Medium,0,Medium,Low,0,High,High
1976-09-15_Dorothy_163,0,0,0,Medium,Medium,Medium,Low,High,0,Medium,Medium,Low,0,0,0,Medium,0,0,0,0,0,0,0,Medium,0,Medium,Medium,Medium,High,High
1976-09-15_Dorothy_164,0,Low,0,Medium,Low,0,Medium,High,0,Low,Medium,0,Medium,0,0,0,0,0,Low,0,0,0,0,Medium,Medium,Low,0,0,Medium,High
1976-09-15_Dorothy_165,0,High,0,0,0,0,Medium,Medium,Low,0,0,0,Low,0,0,High,0,0,Low,0,0,0,Low,0,0,Medium,0,0,Low,High
1976-09-15_Dorothy_166,0,Low,Low,Low,0,0,Low,High,0,Low,0,0,Low,Medium,0,Medium,0,0,0,0,0,0,0,0,Low,Low,0,0,Medium,High
1976-09-15_Dorothy_167,0,0,0,Medium,0,Medium,Medium,High,0,Medium,Low,Low,0,0,0,0,0,0,Low,0,0,0,Low,Low,0,Medium,0,0,Medium,High
1976-09-15_Dorothy_168,0,Low,0,High,Medium,0,Medium,High,0,Medium,Medium,0,Medium,0,0,High,0,0,Low,0,0,0,Low,Medium,0,0,Medium,0,Medium,Medium
1976-09-15_Dorothy_169,0,0,0,0,0,Low,High,High,Medium,Low,Medium,0,Low,0,Low,High,0,0,High,0,0,0,0,0,0,0,Low,0,Low,High
1976-09-15_Dorothy_17,0,Medium,Low,High,Low,0,0,High,Low,0,Medium,0,0,0,0,0,0,0,0,0,0,0,Medium,0,0,0,0,High,Medium,High
1976-09-15_Dorothy_170,0,Low,0,High,Medium,0,Low,High,0,High,Medium,0,Medium,0,0,High,Low,0,0,0,0,0,Medium,0,Low,0,0,Medium,Low,High
1976-09-15_Dorothy_171,0,0,0,Medium,Medium,0,0,High,Low,High,Medium,0,Low,0,0,Medium,Low,0,0,0,Low,0,Medium,Medium,0,Medium,High,Low,Medium,High
1976-09-15_Dorothy_172,0,0,0,0,0,0,0,High,Low,High,Low,0,Low,0,0,0,0,0,0,0,0,Low,0,0,Medium,High,Medium,0,Medium,Medium
1976-09-15_Dorothy_173,0,0,0,Medium,0,0,Medium,High,Medium,High,High,0,Medium,0,0,High,0,0,0,0,0,0,0,0,Medium,Medium,0,0,Medium,High
1976-09-15_Dorothy_174,0,0,0,High,Low,0,Low,High,Medium,High,Medium,Medium,Low,0,Medium,Medium,0,0,0,0,0,0,0,Low,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_175,0,Low,0,High,Low,0,Medium,High,0,High,High,0,0,0,Medium,High,0,0,0,0,Low,0,0,0,0,0,Medium,0,0,High
1976-09-15_Dorothy_176,0,Low,0,Medium,High,0,High,High,0,High,Medium,0,0,0,0,High,0,0,0,0,0,0,Medium,0,0,0,High,Medium,Medium,High
1976-09-15_Dorothy_177,0,0,0,High,Medium,0,Medium,High,0,Medium,Medium,0,Medium,0,0,Medium,0,0,0,0,0,0,Medium,0,0,0,Medium,0,Medium,High
1976-09-15_Dorothy_178,0,0,0,High,Low,0,Medium,High,0,Medium,Medium,Medium,Medium,0,Low,High,0,Low,0,0,0,0,0,Low,Low,0,High,0,High,High
1976-09-15_Dorothy_179,0,0,0,Low,0,0,Medium,High,0,High,Medium,0,Low,0,High,0,0,0,0,0,0,Low,0,0,0,Medium,High,0,Medium,Medium
1976-09-15_Dorothy_18,0,Medium,0,High,0,0,Medium,High,Medium,Medium,High,0,Medium,0,0,0,0,0,Low,0,0,0,0,Low,0,Low,High,Medium,Medium,High
1976-09-15_Dorothy_180,0,Low,0,Medium,Low,0,Medium,High,0,High,0,0,Low,0,High,High,0,0,0,0,0,0,0,Low,0,Low,Medium,0,Medium,High
1976-09-15_Dorothy_181,0,0,0,Medium,0,0,Medium,High,Low,High,Low,0,High,0,Low,High,0,0,Low,0,Low,0,0,Low,0,0,High,0,Medium,High
1976-09-15_Dorothy_182,0,Low,Low,High,Low,0,Medium,High,Low,High,High,Low,High,0,Medium,High,0,0,0,0,0,0,Low,Medium,0,0,Medium,0,High,High
1976-09-15_Dorothy_183,0,0,0,Medium,0,Low,0,High,0,High,0,0,High,0,Low,Medium,0,0,0,0,0,0,0,0,0,Medium,High,0,Medium,High
1976-09-15_Dorothy_184,0,Low,0,0,0,Low,Medium,High,Low,High,Medium,0,Medium,0,0,High,0,0,0,0,0,Medium,0,0,Low,0,0,0,Medium,High
1976-09-15_Dorothy_185,0,0,0,High,0,0,Medium,High,0,Medium,High,Low,Medium,Low,0,Medium,0,0,0,0,0,0,0,Medium,Low,0,Medium,0,Medium,Medium
1976-09-15_Dorothy_186,0,0,Medium,Medium,0,0,Low,High,Low,Medium,Medium,0,Low,0,0,High,0,0,0,Low,0,0,0,0,Medium,Low,Low,0,Medium,High
1976-09-15_Dorothy_187,0,Low,0,High,Medium,0,Medium,High,0,Medium,High,0,0,0,0,High,0,0,Low,0,0,0,Medium,0,0,Low,Medium,0,Medium,High
1976-09-15_Dorothy_188,0,0,0,High,0,Low,0,High,0,High,0,Low,Medium,0,0,High,0,0,Low,0,0,Low,0,0,Low,Medium,Low,0,Medium,High
1976-09-15_Dorothy_189,0,0,0,Low,0,Low,Medium,High,Low,Low,0,0,0,0,0,High,Low,0,Low,0,0,0,0,0,0,Low,Medium,0,0,High
1976-09-15_Dorothy_19,0,Medium,0,Medium,High,0,Medium,High,0,Medium,Medium,Low,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Medium,0,High
1976-09-15_Dorothy_190,0,0,0,Medium,Medium,0,Medium,High,0,Medium,Medium,Low,0,0,0,Medium,0,0,Medium,0,0,0,Medium,0,0,Low,Medium,0,Low,High
1976-09-15_Dorothy_191,0,0,0,Low,0,0,0,High,Low,High,0,0,Low,0,0,Medium,0,0,0,0,0,0,Low,Low,0,0,Low,0,Low,High
1976-09-15_Dorothy_192,0,0,Low,Low,0,0,High,High,0,Medium,Low,0,Low,0,0,0,0,0,High,Low,0,0,0,Low,0,Low,Medium,0,High,High
1976-09-15_Dorothy_193,0,0,0,0,Medium,0,Medium,High,Low,Medium,Medium,Low,0,0,0,High,0,0,High,0,0,0,Low,0,0,High,High,0,High,High
1976-09-15_Dorothy_194,0,0,Low,Medium,Low,0,High,High,Low,High,0,0,0,0,0,High,0,0,High,Low,0,0,0,0,0,Low,0,0,Medium,High
1976-09-15_Dorothy_195,0,0,0,Low,0,0,High,High,Medium,Medium,0,0,0,0,0,High,0,0,High,Medium,0,0,0,0,0,Medium,Low,0,Medium,High
1976-09-15_Dorothy_196,0,0,0,High,High,0,High,High,Medium,Low,High,0,0,0,0,High,0,0,High,0,0,0,Low,0,0,0,Low,0,Low,High
1976-09-15_Dorothy_197,0,Low,0,High,0,Medium,Medium,High,0,High,Medium,0,High,Low,0,Medium,0,0,High,0,0,0,0,0,0,Medium,0,0,Low,High
1976-09-15_Dorothy_198,0,Medium,0,0,0,Low,Medium,High,0,High,Low,0,0,0,0,High,Low,0,High,0,0,0,Low,0,0,Low,Medium,0,High,High
